Date,Sales
2023-05-12,277.78
2023-05-13,265.36
2023-05-14,279.59
2023-05-15,264.5
2023-05-16,288.02
2023-05-17,263.49
2023-05-18,266.88
2023-05-19,276.99
2023-05-20,255.29
2023-05-21,268.59
2023-05-22,278.08
2023-05-23,247.61
2023-05-24,264.2
2023-05-25,263.59
2023-05-26,267.43
2023-05-27,245.85
2023-05-28,243.6
2023-05-29,260.6
2023-05-30,256.9
2023-05-31,254.98
2023-06-01,254.46
2023-06-02,242.7
2023-06-03,250.32
2023-06-04,249.4
2023-06-05,237.79
2023-06-06,262.05
2023-06-07,246.57
2023-06-08,228.34
2023-06-09,245.23
2023-06-10,227.32
2023-06-11,243.33
2023-06-12,245.43
2023-06-13,224.01
2023-06-14,240.21
2023-06-15,233.05
2023-06-16,235.49
2023-06-17,244.57
2023-06-18,221.48
2023-06-19,214.71
2023-06-20,211.67
2023-06-21,210.72
2023-06-22,216.4
2023-06-23,218.88
2023-06-24,216.53
2023-06-25,220.33
2023-06-26,210.47
2023-06-27,223.16
2023-06-28,204.25
2023-06-29,232.38
2023-06-30,209.71
2023-07-01,193.15
2023-07-02,189.29
2023-07-03,203.1
2023-07-04,194.31
2023-07-05,201.96
2023-07-06,197.83
2023-07-07,190.65
2023-07-08,181.19
2023-07-09,172.8
2023-07-10,181.77
2023-07-11,193.09
2023-07-12,184.97
2023-07-13,168.67
2023-07-14,181.17
2023-07-15,181.6
2023-07-16,167.23
2023-07-17,175.93
2023-07-18,173.31
2023-07-19,159.65
2023-07-20,173.0
2023-07-21,173.4
2023-07-22,176.99
2023-07-23,175.08
2023-07-24,149.15
2023-07-25,151.96
2023-07-26,164.9
2023-07-27,163.31
2023-07-28,161.76
2023-07-29,193.59
2023-07-30,159.24
2023-07-31,163.36
2023-08-01,160.04
2023-08-02,155.52
2023-08-03,144.38
2023-08-04,153.66
2023-08-05,136.89
2023-08-06,140.83
2023-08-07,136.93
2023-08-08,141.21
2023-08-09,162.16
2023-08-10,118.98
2023-08-11,143.17
2023-08-12,118.86
2023-08-13,128.97
2023-08-14,143.3
2023-08-15,131.79
2023-08-16,119.12
2023-08-17,121.53
2023-08-18,134.28
2023-08-19,119.0
2023-08-20,127.31
2023-08-21,124.47
2023-08-22,116.39
2023-08-23,143.26
2023-08-24,127.09
2023-08-25,99.46
2023-08-26,120.56
2023-08-27,111.08
2023-08-28,125.26
2023-08-29,107.86
2023-08-30,113.72
2023-08-31,119.03
2023-09-01,121.77
2023-09-02,100.27
2023-09-03,108.11
2023-09-04,105.92
2023-09-05,103.37
2023-09-06,126.82
2023-09-07,112.51
2023-09-08,95.17
2023-09-09,116.3
2023-09-10,127.72
2023-09-11,116.22
2023-09-12,90.14
2023-09-13,99.95
2023-09-14,116.94
2023-09-15,96.71
2023-09-16,107.77
2023-09-17,110.65
2023-09-18,93.24
2023-09-19,101.54
2023-09-20,69.38
2023-09-21,91.24
2023-09-22,98.68
2023-09-23,88.47
2023-09-24,117.05
2023-09-25,86.23
2023-09-26,95.97
2023-09-27,101.55
2023-09-28,114.55
2023-09-29,85.7
2023-09-30,111.65
2023-10-01,100.1
2023-10-02,90.2
2023-10-03,104.68
2023-10-04,102.12
2023-10-05,94.24
2023-10-06,101.07
2023-10-07,96.68
2023-10-08,101.86
2023-10-09,107.57
2023-10-10,117.06
2023-10-11,89.11
2023-10-12,123.13
2023-10-13,82.62
2023-10-14,100.99
2023-10-15,108.79
2023-10-16,106.14
2023-10-17,97.56
2023-10-18,102.19
2023-10-19,99.86
2023-10-20,99.44
2023-10-21,114.4
2023-10-22,110.07
2023-10-23,100.2
2023-10-24,116.77
2023-10-25,111.53
2023-10-26,117.3
2023-10-27,116.2
2023-10-28,102.38
2023-10-29,105.85
2023-10-30,119.74
2023-10-31,119.21
2023-11-01,113.77
2023-11-02,116.04
2023-11-03,128.57
2023-11-04,110.82
2023-11-05,123.17
2023-11-06,116.67
2023-11-07,117.53
2023-11-08,131.74
2023-11-09,130.07
2023-11-10,131.04
2023-11-11,137.07
2023-11-12,125.36
2023-11-13,133.12
2023-11-14,124.38
2023-11-15,131.92
2023-11-16,128.6
2023-11-17,132.11
2023-11-18,138.36
2023-11-19,125.51
2023-11-20,155.91
2023-11-21,126.25
2023-11-22,125.51
2023-11-23,150.59
2023-11-24,148.3
2023-11-25,148.02
2023-11-26,149.48
2023-11-27,144.5
2023-11-28,137.1
2023-11-29,148.29
2023-11-30,142.24
2023-12-01,160.25
2023-12-02,150.54
2023-12-03,145.27
2023-12-04,151.85
2023-12-05,160.74
2023-12-06,152.54
2023-12-07,151.53
2023-12-08,163.77
2023-12-09,165.38
2023-12-10,159.47
2023-12-11,161.45
2023-12-12,170.11
2023-12-13,154.95
2023-12-14,157.0
2023-12-15,165.55
2023-12-16,172.26
2023-12-17,179.18
2023-12-18,192.5
2023-12-19,188.01
2023-12-20,179.53
2023-12-21,182.63
2023-12-22,174.5
2023-12-23,186.05
2023-12-24,185.06
2023-12-25,192.89
2023-12-26,183.11
2023-12-27,198.29
2023-12-28,210.15
2023-12-29,195.46
2023-12-30,202.29
2023-12-31,206.9
